st_code,dt_code,state,district,current_ac_cr,savings_ac_cr,deposit_cr,credit_cr,population,housing_loan_cr,con_durable_loan_cr,auto_loan_cr,education_loan_cr,cc_loan_cr,others_loan_cr
22,722,CHHATTISGARH,KONDAGAON,141.5,1035.9,1656.2,1013.4,812679,104.4,0.5,65.9,4.9,2.7,432.8
22,404,CHHATTISGARH,KORBA,681.6,5432.1,11305.6,7112.8,1775891,724.6,10.4,538.9,41.3,24.4,1491.5
22,400,CHHATTISGARH,KORIYA,73.2,804.3,1688.4,513.1,966265,68.1,6.1,33.2,4.9,4.7,166.1
22,411,CHHATTISGARH,MAHASAMUND,219.2,2165.6,3850.7,3548.9,1471254,342,18.8,214.2,18.6,13.2,497.7
22,717,CHHATTISGARH,MUNGELI,106.2,1139.6,1789.7,1177.5,986854,155.3,0.3,37.8,4.3,4.7,248
22,415,CHHATTISGARH,NARAYANPUR,46.6,480.1,676.1,290.9,148838,28.4,0.5,12.5,0.6,0.6,168.4
22,403,CHHATTISGARH,RAIGARH,839.1,4613.5,9324.8,7971.3,2078612,883.1,25.5,520.8,39.5,28.1,1140.7
22,410,CHHATTISGARH,RAIPUR,7874.8,32713.3,80355.9,102482.7,3517888,11220.5,111.1,2516.5,408.3,216.1,4860.8
22,408,CHHATTISGARH,RAJNANDGAON,435.3,2904.5,5808.1,4137.4,2237696,763.7,9.1,257.1,23.1,14,558.6
22,723,CHHATTISGARH,SUKMA,83.6,658.4,868.8,371.5,340189,17.8,0,11.7,1.8,0.5,291.6
22,715,CHHATTISGARH,SURAJPUR,180.9,1762,3288.4,1201.3,1164390,120.5,4.8,93.9,6.1,5.3,402.4
22,401,CHHATTISGARH,SURGUJA,417.3,3000,6152.2,3324.4,1227496,451.6,45.1,325.5,21.1,17,580.8
22,413,CHHATTISGARH,UTTAR BASTAR KANKER,195.4,2015.5,3264.3,1959.4,1078634,219.3,2.4,103.6,9.7,4.5,722.5
26,496,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA&NAGAR HAVELI,1196.8,3567.7,8740.9,5085.9,760304,1613.7,4,227,22.4,155.5,335.9
26,495,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN,428.2,2142.8,5028.1,2214.2,245838,463.7,1.1,162.9,12.7,87.9,214.1
26,494,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DIU,111.4,1176.9,2926.2,199.9,90914,28.1,0.1,16.3,7.1,4.7,48.3
30,585,GOA,NORTH GOA,3533.2,16920.2,62242.5,18839.5,1066838,5674.6,47.8,1311.4,184.9,229.2,2329.4
30,586,GOA,SOUTH GOA,1972.6,15521.2,55517.2,12596,871025,4333.1,28.2,1159,282.3,168.1,1790.4
24,474,GUJARAT,AHMEDABAD,36799.2,93127.1,364733.8,345869,11076253,60043.7,477.4,9706.8,1622.6,2603.1,16638.5
24,480,GUJARAT,AMRELI,633.3,4390.4,9714.2,6824.9,2053617,591,2.9,263.9,28.9,70.4,594.3
